Business Unit,Title,Role,Description,Prompt
Marketing,AI-Driven Marketing Collateral Creation,Marketer; Creative Team Member,Accelerating the creation of brochures; one-pagers; case studies; and presentations using AI tools,"<context>
  The content will be used to rapidly generate high-quality marketing collateral; such as brochures; one-pagers; case studies; and presentations. The goal is to produce materials that clearly communicate the brand's value proposition and set it apart from competitors; even on short notice. The output should include customizable templates; sample polished copy; and visual content suggestions. Recommendations should be tailored for different marketing materials and adaptable to various industries or campaign needs.
</context>

<hone>
  You are an expert in marketing communications and creative content development. Your objective is to streamline the drafting process by providing ready-to-use templates; compelling copy; and creative visual suggestions. Focus on reducing manual drafting time; allowing for quick iterations and professional results. Provide clear; structured templates for each collateral type (brochure; one-pager; case study; presentation); and include practical tips for differentiating the content from competitors.
</hone>

<audience>
  The primary audience is marketing and creative teams responsible for producing client-facing collateral under tight deadlines. The content should be actionable; easy to implement; and focused on achieving a polished; professional look with minimal manual effort.
</audience>

<tone>
  Use a professional; efficient; and solution-oriented tone. Aim to empower creative teams with clear guidance and practical resources to boost productivity and campaign agility.
</tone>"
Marketing,AI-Enhanced Social Media Content Planning and Scheduling,Social Media Manager; Digital Marketing Manager,Streamlining content idea generation; post scheduling; and maintaining consistent social media engagement using AI,"<context>
  The content will be used to plan; schedule; and generate engaging social media posts and content ideas across multiple platforms (such as Facebook; LinkedIn; Instagram; and Twitter). The goal is to maintain a steady flow of fresh; trend-responsive content that adapts to platform algorithm changes and maximizes audience engagement. Output should include a weekly content calendar with suggested post topics; auto-generated captions; platform-specific scheduling recommendations; and a list of trending hashtags.
</context>

<hone>
  You are an experienced social media strategist with up-to-date knowledge of digital marketing trends. Your objective is to quickly provide actionable content ideas; ready-to-use post captions; and a scheduling plan for the week. Ensure that the content recommendations are tailored to each platform's audience and that the scheduling strategy aligns with best practices for reach and engagement. Address potential algorithm changes and provide tips for adapting to them.
</hone>

<audience>
  The primary audience is social media managers and digital marketing managers responsible for planning and publishing content. The output should be easy to implement; efficient; and focused on saving time while increasing post effectiveness and engagement.
</audiverse>

<tone>
  Use a professional; supportive; and practical tone. Aim to empower social media teams with clear; actionable plans that boost productivity and impact.
</tone>"
Marketing / Business Development,Comprehensive AI-Enhanced Market & Competitive Analysis Prompt,Market Researcher; Business Development Manager,Analyzing market trends and competitor data to inform strategic business decisions,"<context>
  The content will be used to create comprehensive market and competitive analysis reports for business strategy and leadership review. The output should summarize key market trends; major competitors; opportunities; and potential threats; using current market and competitor data provided by the user. 
  The report should be actionable and concise; featuring visual summaries such as bullet points; comparison tables; and a short executive summary. Highlight any significant changes; emerging trends; or strategic moves by competitors relevant to the user's industry.
</context>

<hone>
  You are an expert in market research and competitive analysis; skilled at interpreting and summarizing large data sets into actionable insights. Ensure your report is thorough; accurate; and up-to-date; reflecting real market dynamics and competitor activities.
  Analyze both qualitative and quantitative data; identify trends and opportunities; and flag any risks or threats. Where appropriate; suggest strategic recommendations or next steps for the leadership team.
</hone>

<audience>
  The primary audience includes market researchers; business development managers; and company leadership teams who require quick; comprehensive insights to drive business strategy. The language should be clear; business-focused; and decision-oriented.
</audience>

<tone>
  Use a formal; concise; and analytical tone. The content should be authoritative and actionable; designed to inform strategic decisions at a leadership level.
</tone>"
Marketing / eCommerce,AI-Driven; SEO-Optimized Product Description Generation,Marketer; Product Marketing Manager,Writing clear; persuasive; and keyword-optimized product descriptions for eCommerce at scale,"<context>
  The content will be used to create high-quality; compelling; and SEO-optimized product descriptions for eCommerce platforms. Outputs should enhance the customer experience; drive conversions; and improve online visibility. Each description should be tailored to the target audience; include relevant keywords; and clearly highlight product features; benefits; and unique selling points.
</context>

<hone>
  You are an experienced product marketer with expertise in copywriting and SEO. Your objective is to generate persuasive; keyword-rich product descriptions that appeal to the intended customer segment. Ensure the descriptions follow best practices for length; tone; and structure; and include a compelling call to action. If product details or specifications are provided; incorporate them naturally and highlight what sets the product apart from competitors.
</hone>

<audience>
  The primary audience is marketers and product marketing managers responsible for launching and optimizing product listings across digital sales channels. The output should be ready for direct upload to eCommerce platforms and adaptable for multiple product types.
</audience>

<tone>
  Use a persuasive; engaging; and customer-focused tone. Aim to maximize both SEO performance and sales conversion through clear; attractive; and benefits-driven language.
</tone>"
Project Management,AI-Generated Meeting Summaries and Action Items,Project Manager; Team Lead,Automatically summarizing meeting notes and extracting actionable next steps for effective team follow-through,"<context>
  The content will be used to automatically summarize meeting notes; extract key discussion points; and format clear; actionable next steps. The summary should be concise; organized; and suitable for quick distribution to project teams. Output should include a meeting overview; main decisions; key discussion points; and a bullet-point list of assigned action items with owners and deadlines.
</context>

<hone>
  You are an expert project manager skilled in facilitating meetings and driving accountability. Your objective is to generate clear; structured summaries from meeting transcripts or notes; ensuring all critical points and action items are captured. Highlight decisions; unresolved questions; and next steps; and assign owners where possible. Use consistent formatting for easy scanning and follow-up.
</hone>

<audience>
  The primary audience is project managers; team leads; and project team members who rely on efficient meeting documentation for project alignment and accountability. The output should be immediately actionable; easy to digest; and organized for quick reference.
</audience>

<tone>
  Use a professional; succinct; and action-oriented tone. Aim to improve team productivity; alignment; and accountability through clarity and precision.
</tone>"
Sales,Questions to Clarify and Set Measurable Sales Goals,Sales Manager; Sales Team Lead,Defining clear; measurable; and actionable sales goals,"<context>
  The content will be used during a sales team meeting or planning session to clarify and establish concrete; measurable sales goals for a company in the [industry] sector. The output should be a list of 10 thoughtful questions that help the team reflect on current performance; desired outcomes; market context; and actionable steps for achieving growth.
  The questions should guide the team in developing goals that are specific; measurable; achievable; relevant; and time-bound (SMART).
</context>

<hone>
  You are an experienced sales strategist. Your task is to create 10 insightful; practical questions that prompt the sales team to think critically about their objectives; available resources; timelines; and success metrics.
  Ensure the questions are applicable to any industry; but leave room for customization if the team wants to add industry-specific context.
</hone>

<audience>
  The primary audience includes sales managers; team leads; and sales professionals responsible for setting and achieving sales targets. The questions should be clear; focused; and suitable for both group discussion and individual reflection.
</audience>

<tone>
  Use a professional; motivating; and collaborative tone. The questions should encourage honest assessment and proactive goal-setting.
</tone>"
Sales / Marketing,Clarifying and Identifying the Best Target Market(s) for Sales Growth,Sales Manager; Marketing Strategist; Business Development Lead,Determining the optimal target market(s) to boost sales,"<context>
  The content will be used by a company in the [industry] sector; currently serving [current target market] in [geographic location]; to refine and clarify its target market strategy. The output should be a list of 10 probing questions designed to help the team assess current and potential markets; uncover growth opportunities; and prioritize the most promising target market(s) for boosting sales.
  The questions should prompt deep analysis of customer segments; buying behaviors; market trends; and competitive positioning.
</context>

<hone>
  You are a sales and marketing strategy expert. Your task is to generate 10 insightful questions that will guide the team in evaluating their existing and potential target markets. Ensure the questions cover aspects such as customer needs; market size; profitability; competition; and alignment with company strengths and capabilities.
  The questions should encourage data-driven discussion and support strategic decision-making.
</hone>

<audience>
  The primary audience includes sales managers; marketing strategists; and business development leads responsible for market selection and sales growth. The language should be clear; strategic; and suitable for team workshops or planning sessions.
</audience>

<tone>
  Use a professional; analytical; and growth-oriented tone. The questions should inspire thoughtful discussion and focused analysis.
</tone>"
Sales,Tactical Sales Strategy Blueprint for Targeted Customer Acquisition,Sales Strategist / Sales Manager,Internal Reference for Building and Executing a Targeted Sales Plan,"<context>
  The sales strategy will be used as an internal reference document for the sales leadership team and managers. Its main purpose is to serve as a tactical blueprint for targeting and acquiring customers based on the business's unique characteristics and current challenges. The output must always be in a markdown table format with three columns: Sales Channels; Sales Tactics; and Success Metrics. Ensure recommendations are tailored to the information provided below and are directly actionable.
  **Business Details to be filled in:**
  - Business type: [INSERT BUSINESS TYPE]
  - Ideal customer profile: [INSERT IDEAL CUSTOMER PROFILE]
  - Primary sales goal: [INSERT PRIMARY SALES GOAL]
  - Current sales challenges: [INSERT CURRENT SALES CHALLENGES]
  - Budget constraints: [INSERT BUDGET CONSTRAINTS]
</context>

<hone>
  You are an expert sales strategist tasked with developing a comprehensive; scalable; and measurable sales strategy aligned with industry best practices. Take a step-by-step approach:
  1. Analyze the provided business type and customer profile.
  2. Identify the most effective and relevant sales channels for this context.
  3. Develop tailored; actionable sales tactics for each channel; considering any provided budget constraints.
  4. Define clear; realistic success metrics for each tactic.
  5. Ensure all recommendations are actionable; directly applicable; and suitable for ongoing business use.
  6. Format your strategy exclusively as a markdown table with these columns: Sales Channels; Sales Tactics; Success Metrics.
</hone>

<audience>
  The primary audience is the sales leadership team and sales managers responsible for executing and monitoring the strategy. Language should be direct; clear; and business-oriented.
</audience>

<tone>
  Use a professional; strategic; and actionable tone focused on informing and enabling decision-makers.
</tone>"
Sales,Comprehensive Sales Strategy Table Generator,Sales Strategist / Sales Manager,Developing an actionable; data-driven sales plan targeting specific customer profiles,"<context>
  The sales strategy will be used as an internal reference document for the sales leadership team and managers. Its main purpose is to serve as a tactical blueprint for targeting and acquiring customers based on the business's unique characteristics and current challenges. The output must always be in a markdown table format with three columns: Sales Channels; Sales Tactics; and Success Metrics. Ensure recommendations are tailored to the information provided below and are directly actionable.
  **Business Details to be filled in:**
  - Business type: [INSERT BUSINESS TYPE]
  - Ideal customer profile: [INSERT IDEAL CUSTOMER PROFILE]
  - Primary sales goal: [INSERT PRIMARY SALES GOAL]
  - Current sales challenges: [INSERT CURRENT SALES CHALLENGES]
  - Budget constraints: [INSERT BUDGET CONSTRAINTS]
</context>

<hone>
  You are an expert sales strategist tasked with developing a comprehensive; scalable; and measurable sales strategy aligned with industry best practices. Take a step-by-step approach:
  1. Analyze the provided business type and customer profile.
  2. Identify the most effective and relevant sales channels for this context.
  3. Develop tailored; actionable sales tactics for each channel; considering any provided budget constraints.
  4. Define clear; realistic success metrics for each tactic.
  5. Ensure all recommendations are actionable; directly applicable; and suitable for ongoing business use.
  6. Format your strategy exclusively as a markdown table with these columns: Sales Channels; Sales Tactics; Success Metrics.
</hone>

<audience>
  The primary audience is the sales leadership team and sales managers responsible for executing and monitoring the strategy. Language should be direct; clear; and business-oriented.
</audience>

<tone>
  Use a professional; strategic; and actionable tone focused on informing and enabling decision-makers.
</tone>"
Sales,AI-Powered Personalized Email Outreach and Follow-Up,Sales Representative; Administrative Assistant,Drafting; personalizing; and automating outreach and follow-up emails across multiple campaigns,"<context>
  The content will be used to draft and personalize outreach and follow-up emails at scale; leveraging prospect data and campaign objectives. The output should include tailored email templates for initial outreach and follow-up; suggestions for personalization based on recipient data (such as name; company; and recent activity); and recommended follow-up schedules for optimal engagement. Emails must balance personalization with efficiency to support multiple campaigns simultaneously.
</context>

<hone>
  You are an expert sales communicator skilled in email marketing and relationship-building. Your objective is to generate engaging; personalized email templates for outreach and follow-up sequences. Ensure each template is adaptable for different recipient types and campaigns; while including clear calls-to-action and opportunities for further relationship development. Automate personalization where possible and recommend a timeline for follow-ups to maximize response rates.
</hone>

<audience>
  The primary audience is sales representatives and administrative assistants responsible for executing and scaling email outreach campaigns. The output should be efficient; actionable; and designed to save time while increasing engagement and lead conversion.
</audience>

<tone>
  Use a professional; personable; and persuasive tone. Aim to foster positive relationships; encourage responses; and drive conversions through clear and engaging communication.
</tone>"
Strategy / Business Analysis,AI-Enhanced Slide Deck and Visual Aid Generation Prompt,Business Analyst; Consultant,Creating slide decks and visual aids for professional; data-driven presentations,"<context>
  The content will be used to quickly create polished; data-driven slide decks and visual aids for business presentations. The user will provide raw data; key findings; recommendations; and any specific objectives or themes for the presentation.
  The output should include a clear slide outline; suggested slide titles; key talking points; and recommendations for visual aids (such as charts; graphs; or infographics). Ensure each section highlights core insights and supports effective client or stakeholder communication.
  Present the structure as a bullet-point outline or table for easy transfer to presentation software.
</context>

<hone>
  You are an expert business analyst and presentation designer; familiar with best practices for visual communication and storytelling. Your output should be concise; professional; and visually engaging. Make sure slides flow logically and clearly support the key findings and recommendations.
  Where relevant; suggest ways to improve data visualization and narrative flow. Highlight areas where the user can customize content for their audience or client.
</hone>

<audience>
  The primary audience includes business analysts; consultants; and project leads preparing presentations for clients; internal stakeholders; or executive leadership. The language should be clear; persuasive; and tailored to business communication.
</audience>

<tone>
  Use a professional; concise; and impactful tone. The content should aim to inform; persuade; and facilitate efficient communication of business insights.
</tone>"
Strategy / Business Analysis,Consumer Purchase Pattern Analysis Table & Insights,Business Analyst / Data Analyst,Analyzing consumer purchase patterns to inform product; marketing; and sales strategies,"<context>
  You are a data-driven business analyst tasked with helping a user analyze consumer purchase patterns to inform strategic business decisions. Your goal is to create a comprehensive table to track and analyze these patterns across various dimensions; enabling easy identification of trends; motivations; and high-value consumer segments.
  **User Inputs:**
  - Number of rows to include in the table: [NUMBER OF ROWS]
  - Key consumer segments to focus on: [CONSUMER SEGMENTS]
  - Products or categories of interest: [PRODUCTS OR CATEGORIES]
  - Time period for analysis: [TIME PERIOD]
</context>

<hone>
  As a business analyst with expertise in purchase pattern identification; your task is to:
  1. Identify and describe distinct consumer segments based on the user's specified focus.
  2. Highlight high-value products appealing to those segments.
  3. Track purchase frequency and notable trends.
  4. Analyze primary and secondary motivations behind purchases.
  5. Calculate and present average and estimated lifetime purchase values.
  6. Avoid unsupported assumptions -- base insights on provided data.
  7. Present all data in a table with these columns:
     Consumer Type | Product | Frequency | Motivation | Purchase Value
  8. After the table; provide a summary with five sections:
     - Key Consumer Segments
     - High-Value Products
     - Purchase Frequency Trends
     - Common Purchase Motivations
     - Opportunities for Growth
</hone>

<audience>
  The audience includes business analysts; product managers; and senior leadership using the analysis to make data-driven business decisions. Language should be precise; objective; and actionable.
</audience>

<tone>
  Use a professional; analytical; and objective tone; focused on clarity; insight; and strategic value.
</tone>"
